Codigo_Paquete,Nombre,Apellido,Dirección,Distrito,Celular
ZERO0001,Andrés,Salazar,Av. Angélica Gamarra 2361,San Martín de Porres,984993109
ZERO0002,Rosa,Cruz,Jr. Ayacucho 818,San Martín de Porres,985139324
ZERO0003,Paola,Rojas,Av. Perú 1793,San Martín de Porres,962011144
ZERO0004,Daniela,Navarro,Av. Angélica Gamarra 1646,San Martín de Porres,970964852
ZERO0005,Diego,Luna,Calle Las Palmeras 604,San Martín de Porres,990687820
ZERO0006,Diego,Torres,Jr. El Chaco 474,San Martín de Porres,966000281
ZERO0007,Juan,Flores,Calle Las Palmeras 2006,San Martín de Porres,948812224
ZERO0008,Luis,Medina,Av. Canta Callao 2935,San Martín de Porres,976502612
ZERO0009,Luis,Luna,Av. Habich 1806,San Martín de Porres,939745691
ZERO0010,Carlos,Medina,Jr. Ayacucho 2018,San Martín de Porres,938221660
ZERO0011,Daniela,Rojas,Calle Los Jardines 2425,San Martín de Porres,935544514
ZERO0012,Luis,Rojas,Av. Angélica Gamarra 2320,San Martín de Porres,968188817
ZERO0013,Miguel,Chávez,Jr. Puno 1378,San Martín de Porres,964648086
ZERO0014,Diego,Chávez,Av. Perú 748,San Martín de Porres,953727112
ZERO0015,Carlos,Castillo,Jr. El Chaco 1928,San Martín de Porres,996325020
ZERO0016,Jorge,Morales,Av. Tomás Valle 1232,San Martín de Porres,922211034
ZERO0017,Miguel,Silva,Calle Los Jardines 2406,San Martín de Porres,919705566
ZERO0018,Jorge,Sánchez,Av. Angélica Gamarra 1949,San Martín de Porres,955926249
ZERO0019,Lucía,Sánchez,Jr. Ayacucho 998,San Martín de Porres,994346135
ZERO0020,Jorge,Rojas,Calle Los Jardines 2235,San Martín de Porres,992369543
ZERO0021,Diego,Silva,Av. Habich 2247,San Martín de Porres,931750881
ZERO0022,Claudia,Pérez,Calle Las Palmeras 952,San Martín de Porres,941358921
ZERO0023,Luis,Quispe,Av. Habich 107,San Martín de Porres,977124373
ZERO0024,Andrés,Vásquez,Av. Habich 1206,San Martín de Porres,975436917
ZERO0025,José,Díaz,Av. Habich 594,San Martín de Porres,994386682
ZERO0026,Ana,Rojas,Jr. Puno 908,San Martín de Porres,941159932
ZERO0027,Jorge,Cruz,Av. Tomás Valle 1688,San Martín de Porres,922409112
ZERO0028,Andrés,Pérez,Calle Los Alisos 584,San Martín de Porres,975325768
ZERO0029,Marco,Navarro,Av. Habich 1906,San Martín de Porres,933207689
ZERO0030,Fiorella,Díaz,Av. Tomás Valle 2997,San Martín de Porres,917038159
ZERO0031,José,Sánchez,Av. Habich 1700,San Martín de Porres,915866387
ZERO0032,Marco,Quispe,Av. Tomás Valle 2957,San Martín de Porres,914202343
ZERO0033,Lucía,Vásquez,Av. Perú 1523,San Martín de Porres,972887603
ZERO0034,Fiorella,Flores,Av. Angélica Gamarra 374,San Martín de Porres,924128904
ZERO0035,Juan,Quispe,Jr. El Chaco 275,San Martín de Porres,998101813
ZERO0036,Diego,Cruz,Jr. Puno 626,San Martín de Porres,994304464
ZERO0037,Marco,Cruz,Av. Tomás Valle 2299,San Martín de Porres,930733436
ZERO0038,Luis,Flores,Calle Los Jardines 550,San Martín de Porres,963048198
ZERO0039,Rosa,Ramírez,Calle Los Jardines 2002,San Martín de Porres,913439659
ZERO0040,María,Quispe,Calle Los Jardines 1088,San Martín de Porres,930246397
ZERO0041,Andrés,Silva,Av. Universitaria 456,San Martín de Porres,999153238
ZERO0042,Andrés,Huamán,Av. Habich 390,San Martín de Porres,965945088
ZERO0043,Ana,Salazar,Calle Las Palmeras 1694,San Martín de Porres,988715783
ZERO0044,Lucía,Silva,Calle Las Palmeras 623,San Martín de Porres,989746799
ZERO0045,Jorge,Flores,Av. Canta Callao 243,San Martín de Porres,937256963
ZERO0046,Pedro,Morales,Calle Las Palmeras 2616,San Martín de Porres,917372794
ZERO0047,José,Silva,Av. Angélica Gamarra 1991,San Martín de Porres,994463781
ZERO0048,Rosa,Salazar,Av. Tomás Valle 136,San Martín de Porres,984601232
ZERO0049,Carlos,Luna,Jr. Ayacucho 298,San Martín de Porres,928144719
ZERO0050,Pedro,Luna,Calle Las Palmeras 2432,San Martín de Porres,942091676
ZERO0051,Claudia,Rojas,Calle Los Alisos 1853,San Martín de Porres,965211057
ZERO0052,Lucía,Cruz,Calle Los Jardines 1097,San Martín de Porres,947436126
ZERO0053,Carlos,Morales,Calle Los Alisos 574,San Martín de Porres,930659421
ZERO0054,Valeria,Vásquez,Jr. Ayacucho 2944,San Martín de Porres,927033294
ZERO0055,Lucía,Pérez,Av. Angélica Gamarra 2249,San Martín de Porres,957641999
ZERO0056,Valeria,Medina,Av. Canta Callao 2380,San Martín de Porres,930106953
ZERO0057,Rosa,Luna,Calle Los Alisos 1742,San Martín de Porres,937194156
ZERO0058,Rosa,Navarro,Jr. El Chaco 542,San Martín de Porres,970075992
ZERO0059,María,Díaz,Av. Perú 1863,San Martín de Porres,990514020
ZERO0060,María,Medina,Jr. Puno 187,San Martín de Porres,996459122
ZERO0061,Claudia,Torres,Av. Angélica Gamarra 2412,San Martín de Porres,913788579
ZERO0062,Lucía,Medina,Av. Tomás Valle 2021,San Martín de Porres,941443028
ZERO0063,Paola,Gómez,Jr. Puno 639,San Martín de Porres,969684368
ZERO0064,Marco,Torres,Calle Las Palmeras 1260,San Martín de Porres,931475540
ZERO0065,José,Vásquez,Av. Canta Callao 1577,San Martín de Porres,989836045
ZERO0066,María,Rojas,Calle Los Alisos 1929,San Martín de Porres,970276408
ZERO0067,José,Castillo,Calle Los Jardines 1945,San Martín de Porres,974625366
ZERO0068,Pedro,Ramírez,Av. Tomás Valle 2341,San Martín de Porres,981868759
ZERO0069,Marco,Flores,Av. Canta Callao 806,San Martín de Porres,919136313
ZERO0070,María,Luna,Av. Perú 2254,San Martín de Porres,910176089
ZERO0071,José,Morales,Av. Canta Callao 2504,San Martín de Porres,955703788
ZERO0072,Fiorella,Rojas,Jr. El Chaco 2924,San Martín de Porres,927008476
ZERO0073,Miguel,Cruz,Jr. Puno 977,San Martín de Porres,999378174
ZERO0074,María,Castillo,Calle Los Jardines 1719,San Martín de Porres,949106243
ZERO0075,Carlos,Sánchez,Av. Habich 2302,San Martín de Porres,913486110
ZERO0076,Valeria,Torres,Calle Las Palmeras 1636,San Martín de Porres,929869784
ZERO0077,Carmen,Cruz,Av. Tomás Valle 923,San Martín de Porres,919830624
ZERO0078,Paola,Huamán,Jr. Puno 2762,San Martín de Porres,974875585
ZERO0079,Claudia,Díaz,Calle Los Jardines 2241,San Martín de Porres,965261452
ZERO0080,Daniela,Chávez,Jr. Ayacucho 1117,San Martín de Porres,954191270
ZERO0081,Andrés,Torres,Av. Canta Callao 1785,San Martín de Porres,951089851
ZERO0082,Marco,Ramírez,Calle Los Jardines 1729,San Martín de Porres,973937151
ZERO0083,Carmen,Chávez,Av. Habich 2000,San Martín de Porres,998367930
ZERO0084,Paola,Ramírez,Av. Angélica Gamarra 734,San Martín de Porres,939216311
ZERO0085,Luis,Huamán,Av. Tomás Valle 2555,San Martín de Porres,961635008
